"ID","startDate","endDate"
"1","20-tammi-2015 00:00:00","20-tammi-2015 00:00:00"
"1","20-tammi-2015 19:14:51","20-tammi-2015 19:16:01"
"1","20-tammi-2015 19:33:52","20-tammi-2015 19:33:54"
"1","20-tammi-2015 19:58:19","20-tammi-2015 19:58:19"
"1","20-tammi-2015 19:59:42","20-tammi-2015 19:59:43"
"1","20-tammi-2015 20:08:09","20-tammi-2015 20:08:10"
"1","20-tammi-2015 20:09:41","20-tammi-2015 20:09:41"
"1","20-tammi-2015 20:11:43","20-tammi-2015 20:11:43"
"1","20-tammi-2015 20:13:13","20-tammi-2015 20:13:13"
"1","20-tammi-2015 20:23:27","20-tammi-2015 20:23:28"
"1","20-tammi-2015 20:29:03","20-tammi-2015 20:29:05"
"1","20-tammi-2015 20:31:51","20-tammi-2015 20:31:52"
"1","21-tammi-2015 20:11:29","21-tammi-2015 20:11:30"
"1","22-tammi-2015 15:55:11","22-tammi-2015 15:55:12"
"1","23-tammi-2015 07:08:30","23-tammi-2015 07:24:33"
"1","01-helmi-2015 18:42:03","01-helmi-2015 18:42:03"
